City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
123,nuku'alofa,-21.1333,-175.2,75.54,94,75,3.44,TO,1691542875
124,kone,-21.0595,164.8658,73.42,43,14,11.07,NC,1691542601
125,hadibu,12.65,54.0333,78.04,80,100,23.71,YE,1691542875
126,isafjordur,66.0755,-23.124,50.05,62,13,3.74,IS,1691542875
127,jonquiere,48.4165,-71.2488,58.39,97,100,5.75,CA,1691542875
128,nemuro,43.3236,145.575,66.04,100,100,14.61,JP,1691542714
129,lompoc,34.6391,-120.4579,72.79,80,100,7.0,US,1691542876
130,pisco,-13.7,-76.2167,68.05,77,0,13.8,PE,1691542629
131,mount pearl,47.5166,-52.7813,55.85,89,100,8.05,CA,1691542876
132,torghay,49.6339,63.4981,72.7,64,4,5.57,KZ,1691542876
133,plesetsk,62.708,40.2916,54.7,86,1,4.88,RU,1691542876
134,yellowknife,62.456,-114.3525,72.12,40,20,13.8,CA,1691542826
135,luis correia,-2.8792,-41.6669,79.12,83,58,17.05,BR,1691542876
136,lospalos,-8.5186,127.0025,75.42,66,100,8.63,TL,1691542674
137,el nido,11.1858,119.3956,83.61,77,98,14.61,PH,1691542876
138,la ronge,55.1001,-105.2842,62.85,59,75,6.91,CA,1691542877
139,hasaki,35.7333,140.8333,86.4,91,100,13.67,JP,1691542877
140,atbasar,51.8,68.3333,65.64,47,100,10.07,KZ,1691542877
141,lorengau,-2.0226,147.2712,82.24,80,50,17.56,PG,1691542877
142,waddan,29.1614,16.139,71.98,72,0,8.37,LY,1691542877
143,vorgashor,67.5833,63.95,47.86,70,100,8.01,RU,1691542877
144,wanning,18.8003,110.3967,87.13,66,100,12.21,CN,1691542877
145,bilibino,68.0546,166.4372,41.81,68,100,6.42,RU,1691542873
146,puerto deseado,-47.7503,-65.8938,49.75,51,100,18.66,AR,1691542787
147,acipayam,37.4239,29.3494,67.68,73,0,5.97,TR,1691542878
148,xinxiang,35.3089,113.8672,83.17,75,0,5.03,CN,1691542878
149,al jahra',29.3375,47.6581,101.62,13,0,11.12,KW,1691542878
150,ad dabbah,18.05,30.95,94.57,35,6,10.71,SD,1691542878
151,tutoia,-2.7619,-42.2744,79.36,85,64,15.99,BR,1691542878
152,pursat,12.3333,103.6667,84.69,62,15,3.24,KH,1691542878
153,christchurch,-43.5333,172.6333,53.91,44,66,5.75,NZ,1691542679
154,coron,11.9986,120.2043,84.18,77,100,10.47,PH,1691542879
155,stanley,54.868,-1.6985,51.28,82,0,6.91,GB,1691542879
156,xinyuan,37.3,99.0,58.08,65,88,1.28,CN,1691542879
157,faya-largeau,17.9257,19.1043,85.01,56,100,17.05,TD,1691542879
158,altay,47.8667,88.1167,62.8,84,8,2.48,CN,1691542879
159,sosnovo-ozerskoye,52.5249,111.5418,68.74,53,100,7.67,RU,1691542879
160,makokou,0.5738,12.8642,69.73,93,93,3.02,GA,1691542879
161,praya,14.9215,-23.5087,79.34,69,75,10.36,CV,1691542819
162,ust-nera,64.5667,143.2,63.88,51,87,2.84,RU,1691542880
163,cockburn town,21.4612,-71.1419,83.77,86,1,17.43,TC,1691542880
164,okha,53.5739,142.9478,60.55,83,78,14.0,RU,1691542880
165,mejit,10.2753,170.8646,83.12,72,100,13.78,MH,1691542880
166,irkutsk,52.2978,104.2964,65.17,94,100,4.47,RU,1691542861
167,luba,3.4568,8.5547,75.09,87,100,8.34,GQ,1691542880
168,masterton,-40.9597,175.6575,51.35,56,24,2.13,NZ,1691542880
169,chifeng,42.2683,118.9636,70.32,76,58,3.29,CN,1691542880
170,onega,63.9061,38.1404,57.18,83,0,8.21,RU,1691542881
171,reuleuet,5.2167,96.2833,81.07,77,100,2.35,ID,1691542881
172,petropavlovsk-kamchatsky,53.0452,158.6483,66.79,56,75,6.71,RU,1691542881
173,aginskoye,51.1,114.53,73.98,41,11,3.11,RU,1691542881
174,kirando,-7.4167,30.6,72.32,52,0,9.01,TZ,1691542881
175,kuching,1.55,110.3333,82.04,89,40,10.0,MY,1691542881
176,puerto santa,-8.9906,-78.6456,67.96,82,91,10.87,PE,1691542881
177,ribeira grande,38.5167,-28.7,75.78,94,100,18.99,PT,1691542881
178,valley city,46.9233,-98.0032,66.72,100,100,4.61,US,1691542882
179,huntsville,34.7304,-86.5861,78.13,87,75,4.61,US,1691542635
180,bamboo flat,11.7,92.7167,82.49,83,40,11.5,IN,1691542866
181,nagqu,31.5,92.0,46.6,73,7,3.89,CN,1691542687
182,daru,-9.0763,143.2092,77.88,76,78,16.8,PG,1691542882
183,keflavik,64.0049,-22.5624,52.23,93,0,10.36,IS,1691542882
184,zaozersk,69.4005,32.4476,61.81,79,0,6.38,RU,1691542882
185,saipan,15.1355,145.701,85.64,100,61,3.0,MP,1691542878
186,turpan,42.9333,89.1667,90.23,30,0,4.63,CN,1691542882
187,muromtsevo,56.3724,75.2418,61.79,75,15,3.96,RU,1691542882
188,dudinka,69.4058,86.1778,65.62,57,94,1.66,RU,1691542883
189,lagos,6.5833,3.75,79.12,93,68,4.99,NG,1691542747
190,linqiong,30.4159,103.4609,80.42,79,20,1.43,CN,1691542883
191,hawaiian paradise park,19.5933,-154.9731,82.9,83,99,9.82,US,1691542814
192,sao vicente,-23.9631,-46.3919,70.27,26,100,1.99,BR,1691542691
193,awjilah,29.1081,21.2869,76.57,68,0,13.94,LY,1691542883
194,nanao,37.05,136.9667,100.29,57,88,1.19,JP,1691542884
195,tocopilla,-22.092,-70.1979,66.65,68,8,12.01,CL,1691542884
196,gazojak,41.1875,61.4036,77.65,45,0,6.78,TM,1691542884
197,sao joao da barra,-21.6403,-41.0511,71.69,87,14,14.43,BR,1691542884
198,san antonio de pale,-1.4014,5.6325,74.07,79,11,12.95,GQ,1691542884
199,suva,-18.1416,178.4415,80.08,74,40,8.05,FJ,1691542884
200,cidreira,-30.1811,-50.2056,61.32,72,100,21.0,BR,1691542885
201,carutapera,-1.195,-46.02,78.01,82,94,8.14,BR,1691542885
202,lebu,-37.6167,-73.65,52.65,70,100,8.21,CL,1691542606
203,saint-philippe,-21.3585,55.7679,67.59,81,46,9.44,RE,1691542688
204,mount gambier,-37.8333,140.7667,55.92,50,3,11.77,AU,1691542810
205,morondava,-20.2833,44.2833,65.41,72,0,1.52,MG,1691542885
206,corner brook,48.9667,-57.9484,60.96,80,100,4.9,CA,1691542878
207,redencao,-4.2258,-38.7306,72.55,94,93,1.86,BR,1691542885
208,badger,64.8,-147.5333,65.52,85,100,0.0,US,1691542886
209,hamilton,39.1834,-84.5333,77.77,69,82,1.99,US,1691542808
210,utrik,11.2278,169.8474,83.14,77,96,11.52,MH,1691542781
211,severo-yeniseyskiy,60.3725,93.0408,57.02,87,6,3.58,RU,1691542886
212,villa ojo de agua,-29.5,-63.6938,46.98,73,0,7.31,AR,1691542886
213,palmer,42.1584,-72.3287,70.52,82,75,11.5,US,1691542886
214,kapuskasing,49.4169,-82.4331,73.49,68,40,3.44,CA,1691542809
215,palikir - national government center,6.9248,158.1611,81.45,83,100,13.8,FM,1691542887
216,lihue,21.9789,-159.3672,82.36,72,6,17.13,US,1691542855
217,anadyr,64.75,177.4833,50.5,93,75,15.66,RU,1691542887
218,al jawf,29.5,38.75,78.71,29,0,5.57,SA,1691542887
219,ta`u,-14.2336,-169.5144,81.43,69,93,8.32,AS,1691542887
220,kamloops,50.6665,-120.3192,77.99,50,100,5.75,CA,1691542888
221,magdagachi,53.45,125.8,70.05,52,100,3.38,RU,1691542888
222,college,64.8569,-147.8028,65.59,87,100,0.0,US,1691542888
223,kalmunai,7.4167,81.8167,79.97,75,100,3.76,LK,1691542888
224,ixtapa,20.7,-105.2,82.6,91,67,2.15,MX,1691542891
225,egilsstadir,65.2653,-14.3948,44.51,81,100,9.22,IS,1691542892
226,skiatook,36.3684,-96.0014,86.36,67,33,8.08,US,1691542896
227,saudarkrokur,65.7461,-19.6394,45.16,74,12,7.45,IS,1691542897
228,tierra nueva,21.6833,-100.5667,73.56,52,9,19.3,MX,1691542897
229,nizhneudinsk,54.9076,99.0276,66.33,79,84,1.3,RU,1691542901
230,tagiura,32.8817,13.3506,74.82,66,0,5.06,LY,1691542902
231,bermeo,43.4209,-2.7215,68.23,79,0,4.27,ES,1691542902
232,bikenibeu village,1.3673,173.1241,85.96,74,75,3.44,KI,1691542904
233,lakeland,28.0395,-81.9498,91.24,70,0,11.5,US,1691542225
234,deols,46.8293,1.7043,57.29,82,0,4.61,FR,1691542905
235,ndele,8.4109,20.6473,69.22,99,100,3.53,CF,1691542905
236,pimentel,-6.8367,-79.9342,73.69,73,0,14.97,PE,1691542905
237,tadine,-21.55,167.8833,69.46,50,14,11.72,NC,1691542905
238,burgersdorp,-30.9977,26.3286,45.05,88,13,8.84,ZA,1691542905
239,jiexiu,37.0244,111.9125,82.31,51,47,3.02,CN,1691542905
240,kaspiyskiy,45.3929,47.3707,83.71,47,0,7.87,RU,1691542906
241,nadi,-17.8,177.4167,84.2,54,40,5.75,FJ,1691542906
242,wagar,16.1525,36.2032,79.07,76,83,20.38,SD,1691542906
243,wasserburg am inn,48.0605,12.2313,58.01,73,100,4.18,DE,1691542906
244,namibe,-15.1961,12.1522,63.09,88,4,6.08,AO,1691542773
245,chonchi,-42.6128,-73.8092,49.21,99,100,4.65,CL,1691542906
246,ilulissat,69.2167,-51.1,39.0,64,100,1.05,GL,1691542621
247,khanty-mansiysk,61.0042,69.0019,59.11,100,75,7.0,RU,1691542906
248,hami,42.8,93.45,86.07,30,100,10.18,CN,1691542642
249,yiwu,29.3151,120.0768,84.74,79,43,3.6,CN,1691542906
250,port blair,11.6667,92.75,82.44,83,40,11.5,IN,1691542907
251,ermenek,36.6404,32.8918,67.57,55,0,4.9,TR,1691542907
252,amahai,-3.3333,128.9167,78.76,80,76,13.27,ID,1691542796
253,ceerigaabo,10.6162,47.368,62.83,62,91,24.47,SO,1691542907
254,dolinsk,47.35,142.8,59.99,97,100,7.81,RU,1691542907
255,campo gallo,-26.5833,-62.85,57.33,64,63,5.86,AR,1691542705
256,newnham,-41.3833,147.1333,52.75,82,75,13.8,AU,1691542775
257,nemyriv,48.9708,28.8378,50.41,84,3,6.02,UA,1691542907
258,uige,-7.6087,15.0613,61.56,89,0,2.33,AO,1691542907
259,fisterra,42.9049,-9.2629,65.75,94,4,11.86,ES,1691542908
260,guymon,36.6828,-101.4816,86.0,42,0,6.91,US,1691542908
261,sinabang,2.4803,96.3801,79.02,82,100,1.48,ID,1691542908
262,nanakuli,21.3906,-158.1547,87.75,48,0,18.41,US,1691542908
263,kafue,-15.7691,28.1814,57.78,59,0,5.5,ZM,1691542908
264,launceston,-41.45,147.1667,53.24,82,75,13.8,AU,1691542908
265,mugia,43.1041,-9.2179,65.91,87,0,10.51,ES,1691542908
266,dishna,26.1247,32.476,88.92,32,0,4.63,EG,1691542909
267,cangucu,-31.395,-52.6756,52.81,77,100,13.42,BR,1691542909
268,kerikeri,-35.2268,173.9474,59.92,72,95,1.99,NZ,1691542909
269,svetlyy,54.675,20.1347,53.65,85,100,14.65,RU,1691542909
270,newman,37.3138,-121.0208,95.29,44,0,3.0,US,1691542909
271,shalkar,47.8288,59.6258,77.95,46,66,12.01,KZ,1691542909
272,bozeman,45.6796,-111.0386,77.49,42,0,4.0,US,1691542909
273,tinogasta,-28.0632,-67.5649,54.57,41,100,0.72,AR,1691542909
274,kudahuvadhoo,2.6708,72.8944,80.96,75,96,5.55,MV,1691542909
275,maintirano,-18.0667,44.0167,69.64,86,0,9.86,MG,1691542909
276,paracuru,-3.41,-39.0306,81.1,84,100,13.76,BR,1691542839
277,murashi,59.3999,48.9615,55.31,97,14,4.54,RU,1691542910
278,santa ana,33.7456,-117.8678,89.26,62,75,10.36,US,1691542856
279,sharan,54.8167,54.0,57.24,96,3,7.36,RU,1691542910
280,souillac,-20.5167,57.5167,68.38,83,40,3.44,MU,1691542910
281,onguday,50.75,86.15,59.85,89,74,1.21,RU,1691542910
282,ust'-ilimsk,58.0006,102.6619,68.25,78,67,2.59,RU,1691542910
283,las palmas,28.4204,-14.0131,72.39,73,0,12.66,ES,1691542910
284,ar rutbah,33.0381,40.2848,83.37,24,0,9.06,IQ,1691542910
285,clinton,42.587,-82.9199,78.69,60,40,9.22,US,1691542857
286,tolanaro,-25.0319,46.9987,66.27,94,40,6.91,MG,1691542911
287,letterkenny,54.95,-7.7333,47.62,93,11,1.03,IE,1691542911
288,minas de marcona,-15.2119,-75.1103,55.89,84,37,10.22,PE,1691542650
289,dvurechensk,56.5982,61.0953,62.98,92,2,4.34,RU,1691542911
290,coquimbo,-29.9533,-71.3436,58.73,82,0,6.91,CL,1691542911
291,chernyshevsk,52.5243,117.0174,75.34,37,8,3.13,RU,1691542911
292,cartagena,10.3997,-75.5144,83.82,84,40,10.36,CO,1691542911
293,port hedland,-20.3167,118.5667,75.25,35,0,5.75,AU,1691542832
294,nova sintra,14.8667,-24.7167,72.95,73,6,14.34,CV,1691542911
295,bridgewater,44.3835,-64.5155,68.11,91,100,14.97,CA,1691542911
296,coyhaique,-45.5752,-72.0662,44.55,65,100,2.3,CL,1691542912
297,stephenville,32.2207,-98.2023,102.99,26,0,14.97,US,1691542815
298,boguchany,58.3814,97.4531,68.76,58,10,1.92,RU,1691542906
299,kudat,6.8837,116.8477,84.29,79,20,5.99,MY,1691542912
300,bengkulu,-3.8004,102.2655,76.19,90,32,4.21,ID,1691542912
301,manokwari,-0.8667,134.0833,82.24,72,28,3.47,ID,1691542912
302,iskateley,67.6803,53.1512,51.64,71,28,3.49,RU,1691542912
303,goondiwindi,-28.55,150.3167,65.21,43,0,4.83,AU,1691542912
304,frontera,26.9333,-101.45,101.89,25,0,5.99,MX,1691542912
305,catende,-8.6667,-35.7167,69.31,96,27,2.46,BR,1691542913
306,al kharijah,25.4514,30.5464,89.64,28,0,13.67,EG,1691542913
307,pokhara,28.2333,83.9833,73.09,95,100,1.16,NP,1691542863
308,cafayate,-26.073,-65.9761,54.43,41,100,2.39,AR,1691542839
309,tabas,33.5959,56.9244,85.75,21,85,4.0,IR,1691542914
310,ciudad madero,22.2667,-97.8333,87.06,79,20,15.3,MX,1691542914
311,lamu,-2.2717,40.902,75.42,84,83,14.41,KE,1691542914
312,berezhani,49.45,24.9333,50.81,91,60,4.56,UA,1691542914
313,sola,-13.8833,167.55,75.87,88,100,9.22,VU,1691542878
314,barentu,15.1139,37.5928,68.83,89,100,7.14,ER,1691542914
315,madang,-5.2246,145.7966,84.34,65,39,3.71,PG,1691542914
316,mar del plata,-38.0023,-57.5575,47.08,83,0,9.22,AR,1691542733
317,callaway,30.153,-85.5699,86.95,74,75,6.91,US,1691542915
318,babu,24.4167,111.5167,85.66,73,18,2.35,CN,1691542915
319,kirensk,57.7853,108.1119,73.22,62,100,2.13,RU,1691542915
320,santa elena de uairen,4.6167,-61.1333,68.45,90,14,1.01,VE,1691542911
321,snowflake,34.5134,-110.0785,82.92,28,56,21.72,US,1691542916
322,selsey,50.735,-0.7898,62.92,98,100,10.51,GB,1691542916
323,guerrero negro,27.9769,-114.0611,79.07,69,22,17.11,MX,1691542877
324,polyarnyy,69.1989,33.4478,59.88,80,0,10.74,RU,1691542916
325,ambodifotatra,-16.9833,49.85,73.63,70,4,12.82,MG,1691542916
326,kirakira,-10.4544,161.9205,79.25,85,100,8.01,SB,1691542916
327,fale old settlement,-9.3852,-171.2468,82.56,78,35,12.21,TK,1691542916
328,selfoss,63.9331,-20.9971,50.04,79,12,5.55,IS,1691542860
329,sheridan,44.8333,-106.9173,67.46,76,0,4.61,US,1691542917
330,tat,47.7415,18.6481,60.12,72,58,3.87,HU,1691542917
331,mukalla,14.5425,49.1242,81.66,82,75,2.37,YE,1691542917
332,ariguani,10.25,-74.0,81.79,87,10,5.14,CO,1691542917
333,tommot,58.9564,126.2925,70.03,52,6,7.87,RU,1691542917
334,magadan,59.5667,150.8,63.54,53,48,4.0,RU,1691542917
335,whakatane,-37.9585,176.9854,57.88,75,33,4.0,NZ,1691542918
336,vetovo,43.7,26.2667,57.49,80,0,1.05,BG,1691542918
337,medicine hat,50.0501,-110.6683,84.63,26,75,5.75,CA,1691542621
338,pangody,65.85,74.4859,45.84,83,100,19.95,RU,1691542919
339,colonia,50.9333,6.95,61.05,88,100,6.91,DE,1691542805
340,rock springs,41.5875,-109.2029,68.05,42,0,16.11,US,1691542920
